ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
ec00020__PK__KEGG	Citrate cycle (TCA cycle)	46	7	Tb927.10.13430,Tb927.10.15410,Tb927.10.2350,Tb927.10.7410,Tb927.11.2690,Tb927.11.9980,Tb927.3.4500,	15.2	6.38	8.88	6.54155383251e-05	0.0307453030128	0.0307453030128
PWY66-398__PK__MetaCyc	TCA cycle III (animals)	26	5	Tb927.10.13430,Tb927.10.15410,Tb927.10.7410,Tb927.11.9980,Tb927.3.4500,	19.2	8.07	11.16	0.000265223158759	0.0580663654507	0.124654884617
REDCITCYC__PK__MetaCyc	TCA cycle VIII (Helicobacter)	8	3	Tb927.10.13430,Tb927.11.2690,Tb927.3.4500,	37.5	15.73	26.71	0.0006427674585	0.0580663654507	0.302100705495
PWY-7389__PK__MetaCyc	superpathway of anaerobic energy metabolism (invertebrates)	33	5	Tb927.10.15410,Tb927.10.7410,Tb927.11.2690,Tb927.3.4500,Tb927.9.12320,	15.2	6.36	8.33	0.000847613336133	0.0580663654507	0.398378267983
PWY-5690__PK__MetaCyc	TCA cycle II (plants and fungi)	20	4	Tb927.10.13430,Tb927.10.15410,Tb927.10.7410,Tb927.3.4500,	20.0	8.39	11.39	0.00100580115904	0.0580663654507	0.472726544747
PWY-7805__PK__MetaCyc	(aminomethyl)phosphonate degradation	10	3	Tb927.8.7980,Tb927.9.11380,Tb927.9.11410,	30.0	12.58	19.05	0.00133263542257	0.0580663654507	0.626338648609
PWY-7807__PK__MetaCyc	glyphosate degradation III	10	3	Tb927.8.7980,Tb927.9.11380,Tb927.9.11410,	30.0	12.58	19.05	0.00133263542257	0.0580663654507	0.626338648609
PWY-6969__PK__MetaCyc	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	22	4	Tb927.10.13430,Tb927.10.15410,Tb927.10.7410,Tb927.3.4500,	18.2	7.63	10.11	0.00146754330965	0.0580663654507	0.689745355537
TCA-GLYOX-BYPASS__PK__MetaCyc	superpathway of glyoxylate bypass and TCA	22	4	Tb927.10.13430,Tb927.10.15410,Tb927.10.7410,Tb927.3.4500,	18.2	7.63	10.11	0.00146754330965	0.0580663654507	0.689745355537
TCA__PK__MetaCyc	TCA cycle I (prokaryotic)	22	4	Tb927.10.13430,Tb927.10.15410,Tb927.10.7410,Tb927.3.4500,	18.2	7.63	10.11	0.00146754330965	0.0580663654507	0.689745355537
P105-PWY__PK__MetaCyc	TCA cycle IV (2-oxoglutarate decarboxylase)	22	4	Tb927.10.13430,Tb927.10.15410,Tb927.11.9980,Tb927.3.4500,	18.2	7.63	10.11	0.00146754330965	0.0580663654507	0.689745355537
PWY-6158__PK__MetaCyc	creatine-phosphate biosynthesis	3	2	Tb927.9.6210,Tb927.9.6290,	66.7	27.96	86.65	0.00163398550151	0.0580663654507	0.767973185708
PWY-5913__PK__MetaCyc	partial TCA cycle (obligate autotrophs)	23	4	Tb927.10.13430,Tb927.10.15410,Tb927.10.7410,Tb927.3.4500,	17.4	7.29	9.57	0.00174641316109	0.0580663654507	0.82081418571
PWY-7254__PK__MetaCyc	TCA cycle VII (acetate-producers)	11	3	Tb927.10.13430,Tb927.11.2690,Tb927.3.4500,	27.3	11.44	16.66	0.00180240732271	0.0580663654507	0.847131441673
ec00630__PK__KEGG	Glyoxylate and dicarboxylate metabolism	39	5	Tb927.10.13430,Tb927.10.15410,Tb927.10.7410,Tb927.11.9980,Tb927.3.4500,	12.8	5.38	6.83	0.00185318187609	0.0580663654507	0.870995481761
PWY-6728__PK__MetaCyc	methylaspartate cycle	42	5	Tb927.10.13430,Tb927.10.15410,Tb927.10.7410,Tb927.3.4500,Tb927.9.5900,	11.9	4.99	6.26	0.00259934297423	0.076355699868	1.0
PWY-7384__PK__MetaCyc	anaerobic energy metabolism (invertebrates, mitochondrial)	13	3	Tb927.10.7410,Tb927.11.2690,Tb927.3.4500,	23.1	9.68	13.31	0.00302291954126	0.0796259095334	1.0
PWY-5538__PK__MetaCyc	pyruvate fermentation to acetate VI	4	2	Tb927.10.7410,Tb927.11.2690,	50.0	20.97	43.29	0.0032189197471	0.0796259095334	1.0
PWY-5537__PK__MetaCyc	pyruvate fermentation to acetate V	4	2	Tb927.10.7410,Tb927.11.2690,	50.0	20.97	43.29	0.0032189197471	0.0796259095334	1.0
P42-PWY__PK__MetaCyc	incomplete reductive TCA cycle	17	3	Tb927.10.15410,Tb927.10.7410,Tb927.3.4500,	17.6	7.4	9.48	0.00672990641868	0.158152800839	1.0
P23-PWY__PK__MetaCyc	reductive TCA cycle I	19	3	Tb927.10.15410,Tb927.10.7410,Tb927.3.4500,	15.8	6.62	8.28	0.00928052773675	0.207707049346	1.0
ec00620__PK__KEGG	Pyruvate metabolism	62	5	Tb927.10.15410,Tb927.10.2350,Tb927.10.7090,Tb927.11.2690,Tb927.3.4500,	8.1	3.38	4.01	0.0139851886486	0.254665863938	1.0
FERMENTATION-PWY__PK__MetaCyc	mixed acid fermentation	23	3	Tb927.10.13430,Tb927.10.15410,Tb927.3.4500,	13.0	5.47	6.61	0.0158863822188	0.254665863938	1.0
PWY-5392__PK__MetaCyc	reductive TCA cycle II	24	3	Tb927.10.15410,Tb927.10.7410,Tb927.3.4500,	12.5	5.24	6.29	0.0178615493827	0.254665863938	1.0
PWY-5464__PK__MetaCyc	superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	66	5	Tb927.10.13430,Tb927.10.15410,Tb927.10.2350,Tb927.10.7410,Tb927.3.4500,	7.6	3.18	3.74	0.018023327401	0.254665863938	1.0
GLYOXYLATE-BYPASS__PK__MetaCyc	glyoxylate cycle	10	2	Tb927.10.13430,Tb927.10.15410,	20.0	8.39	10.78	0.0220578663109	0.254665863938	1.0
PWY-6766__PK__MetaCyc	salicin biosynthesis	1	1	Tb927.10.7090,	100.0	41.94	inf	0.0238410596027	0.254665863938	1.0
PWY-1801__PK__MetaCyc	formaldehyde oxidation II (glutathione-dependent)	1	1	Tb927.3.5050,	100.0	41.94	inf	0.0238410596027	0.254665863938	1.0
PWY-6957__PK__MetaCyc	mandelate degradation to acetyl-CoA	1	1	Tb927.11.2690,	100.0	41.94	inf	0.0238410596027	0.254665863938	1.0
PWY-2361__PK__MetaCyc	3-oxoadipate degradation	1	1	Tb927.11.2690,	100.0	41.94	inf	0.0238410596027	0.254665863938	1.0
PWY-7793__PK__MetaCyc	dimethyl sulfide biosynthesis from methionine	1	1	Tb927.9.12320,	100.0	41.94	inf	0.0238410596027	0.254665863938	1.0
PWY-7183__PK__MetaCyc	pyrimidine nucleobases salvage I	1	1	Tb927.4.3320,	100.0	41.94	inf	0.0238410596027	0.254665863938	1.0
PWY-5766__PK__MetaCyc	L-glutamate degradation X	1	1	Tb927.9.5900,	100.0	41.94	inf	0.0238410596027	0.254665863938	1.0
THRDLCTCAT-PWY__PK__MetaCyc	L-threonine degradation III (to methylglyoxal)	1	1	Tb927.6.2790,	100.0	41.94	inf	0.0238410596027	0.254665863938	1.0
GLUTAMATE-SYN2-PWY__PK__MetaCyc	L-glutamate biosynthesis II	1	1	Tb927.9.5900,	100.0	41.94	inf	0.0238410596027	0.254665863938	1.0
PWY-5536__PK__MetaCyc	acetate formation from acetyl-CoA (succinate)	1	1	Tb927.11.2690,	100.0	41.94	inf	0.0238410596027	0.254665863938	1.0
PWY-5494__PK__MetaCyc	pyruvate fermentation to propanoate II (acrylate pathway)	1	1	Tb927.11.2690,	100.0	41.94	inf	0.0238410596027	0.254665863938	1.0
PWY-5431__PK__MetaCyc	aromatic compounds degradation via &beta;-ketoadipate	1	1	Tb927.11.2690,	100.0	41.94	inf	0.0238410596027	0.254665863938	1.0
PWY-5417__PK__MetaCyc	catechol degradation III (ortho-cleavage pathway)	1	1	Tb927.11.2690,	100.0	41.94	inf	0.0238410596027	0.254665863938	1.0
PWY-5181__PK__MetaCyc	toluene degradation III (aerobic) (via <i>p</i>-cresol)	1	1	Tb927.11.2690,	100.0	41.94	inf	0.0238410596027	0.254665863938	1.0
PWY-1882__PK__MetaCyc	superpathway of C1 compounds oxidation to CO<sub>2</sub>	1	1	Tb927.3.5050,	100.0	41.94	inf	0.0238410596027	0.254665863938	1.0
PWY-5183__PK__MetaCyc	superpathway of aerobic toluene degradation	1	1	Tb927.11.2690,	100.0	41.94	inf	0.0238410596027	0.254665863938	1.0
PWY-6185__PK__MetaCyc	4-methylcatechol degradation (<i>ortho</i> cleavage)	1	1	Tb927.11.2690,	100.0	41.94	inf	0.0238410596027	0.254665863938	1.0
PWY-7378__PK__MetaCyc	aminopropanol phosphate biosynthesis II	1	1	Tb927.6.2790,	100.0	41.94	inf	0.0238410596027	0.254665863938	1.0
PWY-561__PK__MetaCyc	superpathway of glyoxylate cycle and fatty acid degradation	27	3	Tb927.10.13430,Tb927.10.15410,Tb927.3.4500,	11.1	4.66	5.49	0.0245794694966	0.256718903632	1.0
ec00680__PK__KEGG	Methane metabolism	127	7	Tb927.10.13430,Tb927.10.15410,Tb927.10.7410,Tb927.3.5050,Tb927.5.800,Tb927.6.2030,Tb927.8.870,	5.5	2.31	2.72	0.0267115572954	0.272922433235	1.0
P108-PWY__PK__MetaCyc	pyruvate fermentation to propanoate I	13	2	Tb927.10.15410,Tb927.3.4500,	15.4	6.45	7.82	0.0365572340273	0.330607439675	1.0
PWY-5088__PK__MetaCyc	L-glutamate degradation VIII (to propanoate)	13	2	Tb927.10.15410,Tb927.3.4500,	15.4	6.45	7.82	0.0365572340273	0.330607439675	1.0
GLYCOLYSIS-TCA-GLYOX-BYPASS__PK__MetaCyc	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	56	4	Tb927.10.13430,Tb927.10.15410,Tb927.10.7410,Tb927.3.4500,	7.1	3.0	3.42	0.0413445908571	0.330607439675	1.0
PWY-2821__PK__MetaCyc	glucosinolate biosynthesis from phenylalanine	2	1	Tb927.9.12320,	50.0	20.97	42.09	0.0471291456559	0.330607439675	1.0
PWYQT-4473__PK__MetaCyc	glucosinolate biosynthesis from tetrahomomethionine	2	1	Tb927.9.12320,	50.0	20.97	42.09	0.0471291456559	0.330607439675	1.0
PWYQT-4475__PK__MetaCyc	glucosinolate biosynthesis from hexahomomethionine	2	1	Tb927.9.12320,	50.0	20.97	42.09	0.0471291456559	0.330607439675	1.0
PWY-1187__PK__MetaCyc	glucosinolate biosynthesis from homomethionine	2	1	Tb927.9.12320,	50.0	20.97	42.09	0.0471291456559	0.330607439675	1.0
PWYQT-4474__PK__MetaCyc	glucosinolate biosynthesis from pentahomomethionine	2	1	Tb927.9.12320,	50.0	20.97	42.09	0.0471291456559	0.330607439675	1.0
PWY-5749__PK__MetaCyc	itaconate degradation	2	1	Tb927.10.7410,	50.0	20.97	42.09	0.0471291456559	0.330607439675	1.0
PWYQT-4472__PK__MetaCyc	glucosinolate biosynthesis from trihomomethionine	2	1	Tb927.9.12320,	50.0	20.97	42.09	0.0471291456559	0.330607439675	1.0
PWY-7344__PK__MetaCyc	UDP-&alpha;-D-galactose biosynthesis	2	1	Tb927.6.2790,	50.0	20.97	42.09	0.0471291456559	0.330607439675	1.0
PWY-6182__PK__MetaCyc	superpathway of salicylate degradation	2	1	Tb927.11.2690,	50.0	20.97	42.09	0.0471291456559	0.330607439675	1.0
PWY-7622__PK__MetaCyc	UDP-&alpha;-D-galactofuranose biosynthesis	2	1	Tb927.6.2790,	50.0	20.97	42.09	0.0471291456559	0.330607439675	1.0
HOMOSER-METSYN-PWY__PK__MetaCyc	L-methionine biosynthesis I	2	1	Tb927.9.12320,	50.0	20.97	42.09	0.0471291456559	0.330607439675	1.0
PWY-7106__PK__MetaCyc	erythromycin D biosynthesis	2	1	Tb927.6.5120,	50.0	20.97	42.09	0.0471291456559	0.330607439675	1.0
PWY-6387__PK__MetaCyc	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	2	1	Tb927.9.12320,	50.0	20.97	42.09	0.0471291456559	0.330607439675	1.0
PWY-6386__PK__MetaCyc	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	2	1	Tb927.9.12320,	50.0	20.97	42.09	0.0471291456559	0.330607439675	1.0
PWY-7901__PK__MetaCyc	glucosinolate biosynthesis from tyrosine	2	1	Tb927.9.12320,	50.0	20.97	42.09	0.0471291456559	0.330607439675	1.0
PWYQT-4471__PK__MetaCyc	glucosinolate biosynthesis from dihomomethionine	2	1	Tb927.9.12320,	50.0	20.97	42.09	0.0471291456559	0.330607439675	1.0
PWY-6975__PK__MetaCyc	superpathway of erythromycin biosynthesis (without sugar biosynthesis)	2	1	Tb927.6.5120,	50.0	20.97	42.09	0.0471291456559	0.330607439675	1.0
PWY-5677__PK__MetaCyc	succinate fermentation to butanoate	2	1	Tb927.11.2690,	50.0	20.97	42.09	0.0471291456559	0.330607439675	1.0
